"Save For Later","Save For Later"
"Save For Later Sharing","Save For Later Sharing"
"My Save For Later","My Save For Later"
"%1's Save For Later","%1's Save For Later"
"Page not found.","Page not found."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Save For Later right now: %1.","We can't add the item to Save For Later right now: %1."
"We can't add the item to Save For Later right now.","We can't add the item to Save For Later right now."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"We can't load the Save For Later item right now.","We can't load the Save For Later item right now."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your Save For Later.","%1 has been moved to your Save For Later."
"We can't move the item to the Save For Later.","We can't move the item to the Save For Later."
"We can't delete the item from Save For Later right now because of an error: %1.","We can't delete the item from Save For Later right now because of an error: %1."
"We can't delete the item from the Save For Later right now.","We can't delete the item from the Save For Later right now."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Please enter an email address.","Please enter an email address."
"This Save For Later can be shared %1 more times.","This Save For Later can be shared %1 more times."
"Please enter a valid email address.","Please enter a valid email address."
"Your Save For Later has been shared.","Your Save For Later has been shared."
"We can't delete item from Save For Later right now.","We can't delete item from Save For Later right now."
"Can't save description %1","Can't save description %1"
"Can't update Save For Later","Can't update Save For Later"
"%1 has been updated in your Save For Later.","%1 has been updated in your Save For Later."
"We can't update your Save For Later right now.","We can't update your Save For Later right now."
"The requested Save For Later doesn't exist.","The requested Save For Later doesn't exist."
"We can't create the Save For Later right now.","We can't create the Save For Later right now."
"%1 items","%1 items"
"1 item","1 item"
Comment,Comment
"Display number of items in Save For Later","Display number of items in Save For Later"
"Display item quantities","Display item quantities"
"An item option with code %1 already exists.","An item option with code %1 already exists."
"We can't specify a Save For Later.","We can't specify a Save For Later."
"Cannot specify product.","Cannot specify product."
"Product is not salable.","Product is not salable."
"Invalid item option format.","Invalid item option format."
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Save For Later right now.","We can't update the Save For Later right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
Comment:,Comment:
"We cannot retrieve the Save For Later.","We cannot retrieve the Save For Later."
"%1's Save For Later","%1's Save For Later"
"We can't specify a Save For Later item.","We can't specify a Save For Later item."
"The product does not exist.","The product does not exist."
"Test Phrase","Test Phrase"
message,message
Message,Message
error-message,error-message
LocalizedException,LocalizedException
"Product Exception.","Product Exception."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Are you sure you want to remove this item?"
"Share","Share"
"Add All to Cart","Add All to Cart"
"Update","Update"
"Save For Later","Save For Later"
"Add to Save For Later","Add to Save For Later"
"View Product","View Product"
Qty,Qty
"Add to Cart","Add to Cart"
Availability,Availability
"In stock","In stock"
"Out of stock","Out of stock"
Edit,Edit
"Remove Item","Remove Item"
"Remove item","Remove item"
"Add to Compare","Add to Compare"
"This Save For Later has no Items","This Save For Later has no Items"
"%1 has been added to your Save For Later.","%1 has been added to your Save For Later."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"See Details","See Details"
"Options Details","Options Details"
"RSS link to %1's Save For Later","RSS link to %1's Save For Later"
"RSS Feed","RSS Feed"
Product,Product
Back,Back
"Save For Later is empty now.","Save For Later is empty now."
"* Required Fields","* Required Fields"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check here to link an RSS feed to your Save For Later.","Check here to link an RSS feed to your Save For Later."
"Last Added Items","Last Added Items"
"Remove This Item","Remove This Item"
"Go to Save For Later","Go to Save For Later"
"You have no items in your Save For Later.","You have no items in your Save For Later."
"Take a look at %customer_name's Save For Later","Take a look at %customer_name's Save For Later"
"%customer_name wants to share this Save For Later from %store_name with you:","%customer_name wants to share this Save For Later from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Save For Later items","View all Save For Later items"
"Save For Later Section","Save For Later Section"
"Share Options","Share Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"10 by default. Max - 10000","10 by default. Max - 10000"
"Email Text Length Limit","Email Text Length Limit"
"255 by default. Max - 10000","255 by default. Max - 10000"
"General Options","General Options"
Enabled,Enabled
"My Save For Later Link","My Save For Later Link"
"Display Save For Later Summary","Display Save For Later Summary"
"Enable RSS","Enable RSS"
"No Items Found","No Items Found"
"Product Name","Product Name"
"User Description","User Description"
Quantity,Quantity
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Save For Later","Days in Save For Later"
Action,Action
Configure,Configure
Delete,Delete
"Product Details and Comment","Product Details and Comment"
"You must login or register to add items to your Save For Later.","You must login or register to add items to your Save For Later."
"Show in Sidebar","Show in Sidebar"
